商店(shop),餐點性質(type),餐次規則(meal),食物名稱(name),熱量(calories),價格(price),食物六大類(category),食物無片(image)
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)厚起司蛋,333,65,"全穀雜糧類,豆魚蛋肉類,乳品類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_27.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)醬燒炙烤牛,235,70,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_30.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)紐奧良風味烤雞,293,65,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_31.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",(熱壓土司)里肌肉蛋,287,65,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_33.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",拔絲起司法式三明治,305,49,全穀雜糧類,https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_81.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",藍莓乳酪三明治,175,29,全穀雜糧類,https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_09.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",日式雞蛋沙拉三明治,247,49,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_101.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",燻雞總匯鮮蔬三明治,292,59,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_75.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",溏心蛋紐奧良風味烤雞三明治,235,59,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_103.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",鮪魚洋芋溏心蛋三明治,281,49,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_57.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",雙倍起司火腿蛋三明治,266,39,"全穀雜糧類,豆魚蛋肉類,乳品類",https://www.7-11.com.tw/freshfoods/16_sandwich/images/sandwich_36.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-麻油豬肉飯,575,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_322.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-沙茶豬肉燴飯,684,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_318.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-滑蛋牛肉燴飯,550,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_316.png
7-ELEVEN,主餐,"午餐,晚餐",香蒜烤雞鮮蔬餐盒,374,99,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_311.png
7-ELEVEN,主餐,"午餐,晚餐",Homeal x 壹番屋 奶油咖哩雞肉飯,592,89,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_301.png
7-ELEVEN,主餐,"午餐,晚餐",Homeal x 日式牛丼,497,95,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_302.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-香腸雙拼便當,701,89,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_281.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-豪華秘製雙拼餐盒,715,99,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_321.png
7-ELEVEN,主餐,"午餐,晚餐",肉絲黃金蛋炒飯,616,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_303.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",黃金玉米棒,264,49,全穀雜糧類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_387.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",起司馬鈴薯,216,50,全穀雜糧類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_381.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",日式半熟蛋,63,35,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_384.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",21Plus甘梅薯條,209.4,49,全穀雜糧類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_378.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",21xBEING Fit桃木燻雞胸,120,59,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_302.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",博客海鹽嫩雞胸,99,59,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_354.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",獨饗薄皮黃金煎餃,276,49,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_359.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",滿漢小香腸_青花椒,221,45,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_337.png
